Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal
1,1,1,0,0,3,0,1,0,0,1,1,1,1,1,1,1,4,3,5,5,4,4,3,1,1,1,1,1,1,1,1,0
2,1,1,0,0,3,2,0,1,0,1,1,1,1,1,1,1,4,3,4,4,4,5,2,1,1,1,1,1,1,1,1,0
3,0,1,2,0,2,0,1,2,0,1,1,1,1,1,1,1,4,3,4,4,4,4,3,1,1,1,1,1,1,1,1,0
4,1,1,0,0,3,2,0,2,1,1,1,1,1,1,1,1,2,1,4,3,3,3,3,1,1,1,1,1,1,1,1,1
5,0,1,0,0,2,2,1,1,1,1,1,1,1,1,1,2,3,3,4,2,2,3,3,1,1,1,1,1,1,1,1,0
6,1,1,0,0,3,0,1,2,1,1,1,1,1,1,1,1,4,3,5,5,4,5,4,1,1,1,1,1,1,1,1,0
7,1,1,0,0,3,0,0,0,0,1,1,1,1,1,1,2,5,5,5,5,3,5,5,1,1,1,1,1,1,1,1,0
8,0,1,2,2,3,0,1,2,0,1,1,1,1,1,1,1,4,2,3,3,3,3,3,1,1,1,1,1,1,1,1,0
9,1,1,0,0,3,1,0,2,0,1,1,1,1,1,1,3,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
10,0,1,2,0,2,2,0,2,1,1,1,1,1,1,1,2,4,3,3,4,3,3,4,1,1,1,1,1,1,1,1,0
11,1,1,0,0,3,0,0,2,1,1,1,1,1,1,1,1,4,1,4,5,3,3,4,1,1,1,1,1,1,1,1,0
12,1,1,0,0,3,0,1,2,1,1,1,1,1,1,1,1,3,2,4,4,3,4,4,1,1,1,1,1,1,1,1,1
13,1,1,0,0,1,2,0,1,0,1,1,1,1,1,1,2,4,3,2,4,4,3,4,1,1,1,1,1,1,1,1,0
14,1,1,0,0,3,2,0,1,0,1,1,1,1,1,1,1,4,3,4,4,4,4,3,1,1,1,1,1,1,1,1,0
15,1,1,0,0,3,2,0,0,0,1,1,1,1,1,1,1,5,2,5,5,5,5,2,1,1,1,1,1,1,1,1,1
16,1,1,2,0,3,2,1,2,0,1,1,1,1,1,1,1,4,1,5,4,3,4,4,1,1,1,1,1,1,1,1,1
17,0,2,2,2,2,1,0,0,0,1,1,1,1,1,1,2,4,3,3,4,3,3,3,1,1,1,1,1,1,1,1,0
18,0,1,2,0,3,0,0,0,0,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
19,0,1,2,1,1,2,0,1,0,1,1,1,1,1,1,2,4,3,4,5,5,5,5,1,1,1,1,1,1,1,1,0
20,1,1,1,2,3,2,0,1,0,1,1,1,1,1,1,1,3,4,3,4,3,4,2,1,1,1,1,1,1,1,1,0
21,0,2,2,3,3,2,0,0,0,1,1,1,1,1,1,2,2,2,5,3,3,4,3,1,1,1,1,1,1,1,1,1
22,1,1,2,0,3,0,0,0,1,1,1,1,1,1,1,2,5,3,4,3,3,4,5,1,1,1,1,1,1,1,1,0
23,0,1,2,1,3,0,4,0,1,1,1,1,1,1,1,1,5,2,5,5,2,4,3,1,1,1,1,1,1,1,1,1
24,1,1,0,0,2,1,2,1,0,1,1,1,1,1,1,1,5,4,4,5,4,4,3,1,1,1,1,1,1,1,1,0
25,0,3,1,3,3,0,2,2,1,1,1,1,1,1,1,2,4,3,4,4,3,3,5,1,1,1,1,1,1,1,1,0
26,0,2,2,4,2,0,1,1,0,1,1,1,1,1,1,2,4,3,1,4,4,5,4,1,1,1,1,1,1,1,1,0
27,0,2,2,4,3,1,0,1,1,1,1,1,1,1,1,1,4,2,4,4,4,4,2,1,1,1,1,1,1,1,0,1
28,0,1,1,0,2,2,0,2,1,1,1,1,1,1,1,2,5,3,4,4,3,4,3,1,1,1,1,1,1,1,1,0
29,0,3,1,4,1,1,0,1,0,1,1,1,1,1,1,3,4,5,3,3,3,4,5,1,1,1,1,1,1,1,1,0
30,1,1,2,2,3,0,1,1,0,1,1,1,1,1,1,1,5,5,5,5,3,5,5,1,1,1,1,1,1,1,1,0
31,1,1,2,1,2,2,1,2,0,1,1,1,1,1,1,2,3,1,4,4,3,4,4,1,1,1,1,1,1,1,1,0
32,1,1,2,2,1,1,0,0,0,1,1,1,1,1,1,2,4,3,3,3,2,3,4,1,1,1,1,1,1,1,1,0
33,1,2,2,1,3,2,0,2,1,1,1,1,1,1,1,2,2,3,5,5,3,5,5,1,1,1,1,1,1,1,1,0
34,1,1,2,1,3,0,1,1,0,1,1,1,1,1,1,1,3,2,3,3,3,4,3,1,1,1,1,1,1,1,1,1
35,1,1,2,1,3,2,0,0,1,1,1,1,1,1,1,1,3,4,4,3,4,4,3,1,1,1,1,1,1,1,1,0
36,1,1,0,0,3,2,0,2,1,1,1,1,1,1,1,1,4,2,4,4,3,4,1,1,1,1,1,1,1,1,1,1
37,1,1,1,0,3,2,0,0,1,1,1,1,1,1,1,1,3,3,4,4,5,5,2,1,1,1,1,1,1,1,1,0
38,0,0,0,0,3,0,2,2,1,1,1,1,1,1,1,1,5,2,3,4,4,3,5,1,1,1,1,1,1,1,1,0
39,0,1,2,0,3,2,0,2,0,1,1,1,1,1,1,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
40,0,2,2,2,3,2,0,0,0,1,1,1,1,1,1,1,3,2,5,3,3,5,3,1,1,1,1,1,1,1,1,0
42,0,1,2,0,2,0,1,0,0,1,1,1,1,1,1,2,5,4,5,5,3,5,5,1,1,1,1,1,1,1,1,0
43,1,1,2,1,1,0,1,0,0,1,1,1,1,1,1,2,5,4,5,5,1,4,4,1,1,1,1,1,1,1,1,0
44,1,1,2,0,2,2,0,2,1,1,1,1,1,1,1,2,4,4,5,4,4,5,5,1,1,1,1,1,1,1,1,0
46,1,2,0,2,3,2,0,1,0,1,1,1,1,1,1,2,5,3,4,3,4,4,4,1,1,1,1,1,1,1,1,0
48,1,1,1,0,3,2,1,2,1,1,1,1,1,1,1,0,3,1,5,4,3,3,2,1,1,1,1,1,1,1,1,0
49,1,1,2,1,3,2,0,0,1,1,1,1,1,1,1,1,3,4,5,4,3,4,2,1,1,1,1,1,1,1,1,0
50,0,0,0,0,3,1,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0
51,0,3,2,3,3,0,0,2,0,1,1,1,1,1,1,2,4,4,4,4,2,3,4,1,1,1,1,1,1,1,1,0
52,1,0,0,0,3,0,0,2,1,1,1,1,1,1,1,1,3,3,2,2,2,4,3,1,1,1,1,1,1,1,1,1
53,1,3,3,0,2,2,0,2,0,1,1,1,1,1,1,3,5,4,3,5,3,5,5,1,1,1,1,1,1,1,1,0
54,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,2,3,3,2,3,3,3,3,1,1,1,1,1,1,1,1,0
55,1,1,2,1,3,2,1,0,0,1,1,1,1,1,1,2,4,3,5,4,4,5,5,1,1,1,1,1,1,1,1,0
56,1,1,2,1,2,2,1,1,0,1,1,1,1,1,1,1,4,3,4,3,2,3,4,1,1,1,1,1,1,1,1,0
57,1,1,2,0,3,1,0,1,1,1,1,1,1,1,1,2,5,4,3,4,3,3,3,1,1,1,1,1,1,1,1,0
58,0,0,0,0,2,0,1,2,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0
59,0,0,0,0,2,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,4,3,3,1,1,1,1,1,1,1,1,0
60,1,1,0,0,3,1,0,2,1,1,1,1,1,1,1,1,4,3,4,4,3,4,3,1,1,1,1,1,1,1,1,0
61,0,1,0,0,3,0,2,1,0,1,1,1,1,1,1,3,2,1,5,1,4,3,3,1,1,1,1,1,1,1,1,0
62,1,1,2,0,3,1,0,1,1,1,1,1,1,1,1,2,5,4,3,4,3,3,3,1,1,1,1,1,1,1,1,0
63,0,2,0,0,3,0,1,2,1,1,1,1,1,1,1,2,3,3,4,3,3,3,3,1,1,1,1,1,1,1,1,0
64,0,1,2,0,3,2,1,0,0,1,1,1,1,1,1,1,4,2,3,5,4,4,5,1,1,1,1,1,1,1,1,0
65,1,1,2,0,3,2,0,2,1,1,1,1,1,1,1,0,3,1,5,3,4,4,5,1,1,1,1,1,1,1,1,1
66,1,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,4,3,2,4,3,4,4,1,1,1,1,1,1,1,1,1
67,1,1,1,1,2,0,0,0,0,1,1,1,1,1,1,2,4,3,4,5,4,4,4,1,1,1,1,1,1,1,1,0
69,1,1,2,0,3,0,0,2,1,1,1,1,1,1,1,0,2,1,5,4,4,4,1,1,1,1,1,1,1,1,1,1
70,1,1,2,1,3,0,1,1,0,1,1,1,1,1,1,1,3,3,5,4,3,3,4,1,1,1,1,1,1,1,1,0
71,1,1,2,0,3,2,0,0,1,1,1,1,1,1,1,1,4,3,4,5,5,5,3,1,1,1,1,1,1,1,1,0
72,0,1,2,1,1,2,2,0,0,1,1,1,1,1,1,2,5,1,3,3,2,3,3,1,1,1,1,1,1,1,1,0
73,1,1,2,0,2,2,0,2,0,1,1,1,1,1,1,1,4,2,4,4,3,4,3,1,1,1,1,1,1,1,1,0
74,0,2,2,0,3,2,0,1,0,1,1,1,1,1,1,1,3,2,4,4,4,5,4,1,1,1,1,1,1,1,1,0
75,1,1,3,2,3,1,0,2,1,1,1,1,1,1,1,2,3,2,3,3,3,5,4,1,1,1,1,1,1,1,1,0
76,0,1,2,1,3,2,0,2,0,1,1,1,1,1,1,1,3,3,4,5,4,4,4,1,1,1,1,1,1,1,1,0
77,0,1,2,0,3,2,0,1,1,1,1,1,1,1,1,1,4,2,5,3,2,4,4,1,1,1,1,1,1,1,1,0
78,0,1,2,2,2,0,1,2,0,1,1,1,1,1,1,2,4,2,1,4,1,4,4,1,1,1,1,1,1,1,1,0
79,1,1,0,0,3,2,0,2,1,1,1,1,1,1,1,1,2,1,5,2,2,2,2,1,1,1,1,1,1,1,1,1
80,1,0,0,0,3,2,0,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1
81,1,1,2,2,2,1,4,1,0,1,1,1,1,1,1,2,3,2,4,3,1,3,3,1,1,1,1,1,1,1,1,1
83,0,1,1,2,3,0,2,2,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0
84,0,2,1,2,1,2,1,1,0,1,1,1,1,1,1,1,4,4,2,4,3,4,5,1,1,1,1,1,1,1,1,0
85,0,1,2,1,3,0,2,2,1,1,1,1,1,1,1,2,4,2,4,3,4,4,4,1,1,1,1,1,1,1,1,1
86,0,2,1,4,2,0,3,2,0,1,1,1,1,1,1,2,4,3,4,4,3,4,4,1,1,1,1,1,1,1,1,0
87,0,1,1,4,3,1,1,2,0,1,1,1,1,1,1,3,4,3,2,3,1,2,2,1,1,1,1,1,1,1,1,0
88,1,1,2,0,3,0,0,1,0,1,1,1,1,1,1,2,3,3,3,4,3,3,3,1,1,1,1,1,1,1,1,0
89,1,1,2,1,3,2,0,0,0,1,1,1,1,1,1,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
90,0,1,1,1,3,0,0,1,0,1,1,1,1,1,1,0,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,0
91,1,2,2,2,1,0,2,2,0,1,1,1,1,1,1,2,4,4,5,4,4,5,4,1,1,1,1,1,1,1,1,0
92,1,2,2,1,2,2,1,0,0,1,1,1,1,1,1,2,4,3,4,5,5,4,5,1,1,1,1,1,1,1,1,0
94,1,1,2,0,3,2,0,2,0,1,1,1,1,1,1,1,5,3,5,5,4,4,1,1,1,1,1,1,1,1,1,0
95,0,1,2,2,2,2,0,2,0,1,1,1,1,1,1,2,3,1,3,3,1,3,2,1,1,1,1,1,1,1,1,0
96,1,1,2,1,3,0,1,1,0,1,1,1,1,1,1,1,3,3,5,4,3,3,4,1,1,1,1,1,1,1,1,0
97,1,1,1,0,3,2,0,2,1,1,1,1,1,1,1,1,3,3,1,4,3,4,4,1,1,1,1,1,1,1,1,0
98,1,2,2,0,3,5,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0
99,1,1,2,1,3,1,0,1,0,1,1,1,1,1,1,2,4,3,4,3,3,4,4,1,1,1,1,1,1,1,1,0
100,0,2,2,0,3,1,1,2,0,1,1,1,1,1,1,1,4,2,3,4,4,4,4,1,1,1,1,1,1,1,1,0
101,0,1,0,0,3,1,1,2,1,1,1,1,1,1,1,2,3,2,3,3,3,3,3,1,1,1,1,1,1,1,1,0
102,0,1,0,0,3,0,1,2,1,1,1,1,1,1,1,1,3,4,3,3,1,2,3,1,1,1,1,1,1,1,1,0
103,0,1,1,2,0,1,0,2,0,1,1,1,1,1,1,2,4,2,4,4,3,3,3,1,1,1,1,1,1,1,1,0
104,0,2,2,1,1,0,2,2,1,1,1,1,1,1,1,3,4,5,5,4,4,3,3,1,1,1,1,1,1,1,1,0
105,0,0,0,0,3,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1
106,0,3,2,2,2,1,1,2,1,1,1,1,1,1,1,2,4,3,5,4,4,4,4,1,1,1,1,1,1,1,1,0
107,0,1,0,0,3,2,0,2,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0
110,0,1,0,0,3,0,0,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1
111,0,1,0,0,3,2,0,2,1,1,1,1,1,1,1,0,4,2,3,5,4,4,2,1,1,1,1,1,1,1,1,1
112,1,1,2,0,2,2,0,2,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
114,1,0,0,0,3,2,0,2,1,1,1,1,1,1,1,1,3,4,5,5,5,4,4,1,1,1,1,1,1,1,1,0
115,0,3,1,1,3,0,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,1,1,1,1,1,1,1,1,1
116,0,0,0,0,0,2,0,2,1,1,1,1,1,1,1,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0
117,0,2,0,0,2,0,2,2,1,1,1,1,1,1,1,1,4,4,5,4,2,3,4,1,1,1,1,1,1,1,1,0
118,0,3,1,1,2,0,2,1,0,1,1,1,1,1,1,2,3,3,5,3,2,4,4,1,1,1,1,1,1,1,1,0
119,0,1,2,0,2,0,2,1,0,1,1,1,1,1,1,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0
120,0,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,4,1,1,1,1,1,1,1,1,1
121,1,1,2,0,3,2,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0
122,0,1,2,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,3,2,1,1,1,1,1,1,1,1,1
