character,voice-actor,movie
Kekata the Medicine man,Gordon Tootoosis,Pocahontas
Kenai,Joaquin Phoenix,Brother Bear
Kerchak,Lance Henriksen,Tarzan
Kiara,Michelle Horn; Neve Campbell,The Lion King II: Simba's Pride
The King,Luis Van Rooten,Cinderella
The King of Hearts,Dink Trout,Alice in Wonderland
King Candy/Turbo,Alan Tudyk,Wreck-It Ralph
King Eiddileg,Arthur Malet,The Black Cauldron
King Hubert,Bill Thompson,Sleeping Beauty
King Kashekim Nedakh,Leonard Nimoy,Atlantis: The Lost Empire
King Leonidas,Lennie Weinrib,Bedknobs and Broomsticks
King Louie,Louis Prima,The Jungle Book
King Richard,Peter Ustinov,Robin Hood
King Roland II,Travis Willingham,Sofia the First
King Stefan,Taylor Holmes,Sleeping Beauty
King Triton,Kenneth Mars,The Little Mermaid
Kirby,Sean Elmore,Chicken Little
Kit Cloudkicker,R. J. Williams; Alan Roberts,TaleSpin
Kocoum,James Apaumut Fall,Pocahontas
Koda,Jeremy Suarez,Brother Bear
Kovu,Ryan O'Donohue; Jason Marsden,The Lion King II: Simba's Pride
Krebbs,Douglas Seale,The Rescuers Down Under
Kristoff,Jonathan Groff,Frozen
Kron,Samuel E. Wright,Dinosaur
Kronk Pepikrankenitz,Patrick Warburton,The Emperor's New Groove
Kuzco,David Spade,The Emperor's New Groove
Lachesis,Carole Shelley,Hercules
Lady,Barbara Luddy,Lady and the Tramp
Lady DeBurne,April Winchell,The Hunchback of Notre Dame II
Lady Kluck,Carole Shelley,Robin Hood
Lady Mouse,Shani Wallis,The Great Mouse Detective
Lady Tremaine,Eleanor Audley; Susanne Blakeslee,Cinderella
Lafayette the Basset Hound,George Lindsey,The Aristocats
Lampwick,Frankie Darro,Pinocchio
Larry the Duck,Marshall Efron,Home on the Range
Launchpad McQuack,Terry McGovern,DuckTales
Laverne,Mary Wickes,The Hunchback of Notre Dame
Lawrence the Valet,Peter Bartlett,The Princess and the Frog
Le Fou,Jesse Corti,Beauty and the Beast
Lefty,Nathan Greno,Meet the Robinsons
Le Plufme,Rob Paulsen,Belle's Magical World
Lewis,Jordan Fry,Meet the Robinsons
Li Shang,B.D. Wong,Mulan
Lil Bad Wolf,Andrew Lawrence,The Porker's Court
Lilo Pelekai,Daveigh Chase,Lilo & Stitch
Ling,Gedde Watanabe,Mulan
Liquidator !The Liquidator,Jack Angel,Darkwing Duck
Little John,Phil Harris,Robin Hood
Little Toot,None,Melody Time
Mr. Litwak,Ed O'Neill,Wreck-It Ralph
Lizzy,Tracey Miller-Zarneke,Meet the Robinsons
Lizzy Griffths,Lauren Mote,Tinker Bell and the Great Fairy Rescue
Louie,Clarence Nash; Russi Taylor,Donald's Nephews
Louie the Hot Dog Man,Frank Welker,Oliver & Company
Louis the Alligator,Michael-Leon Wooley,The Princess and the Frog
Lucifer the Cat,June Foray,Cinderella
Lucille Krunklehorn,Laurie Metcalf,Meet the Robinsons
Lucky,Mimi Gibson,One Hundred and One Dalmatians
Lucky Jack,Charles Haid,Home on the Range
Ludwig Von Drake,Paul Frees,An Adventure in Color
Luke,Pat Buttram,The Rescuers
Lumière,Jerry Orbach,Beauty and the Beast
Lumpy the Heffalump,Kyle Stanger,Pooh's Heffalump Movie
Lyle,Jeff Foxworthy,The Fox and the Hound 2
Ma Beagle,June Foray,DuckTales
Mad Hatter,Ed Wynn,Alice in Wonderland
Madame Adelaide Bonfamille,Hermione Baddeley,The Aristocats
Madame Medusa,Geraldine Page,The Rescuers
Madam Mim,Martha Wentworth,The Sword in the Stone
Madame Upanova,Tress MacNeille,Fantasia
Madellaine,Jennifer Love Hewitt,The Hunchback of Notre Dame II
Maggie,Roseanne Barr,Home on the Range
Magic Carpet,None,Aladdin
The Magic Mirror,Moroni Olsen,Snow White and the Seven Dwarfs
Magica De Spell,June Foray,DuckTales
Mahra the Baboon,Tress MacNeille,Jungle Cubs
Maid Marian,Monica Evans,Robin Hood
Major the Horse,None,Cinderella
Maleficent,Eleanor Audley,Sleeping Beauty
Malina,Jessica Di Cicco,The Emperor's New School
Mama Odie,Jenifer Lewis,The Princess and the Frog
Man the Hunter,None,Bambi
Marahute,Frank Welker,The Rescuers Down Under
March Hare,Jerry Colonna,Alice in Wonderland
Marie,Liz English,The Aristocats
Markowski,Joe Lo Truglio,Wreck-It Ralph
Marlon the Alligator,Emeril Lagasse,The Princess and the Frog
Mary Darling,Heather Angel,Peter Pan
The Matchmaker,Miriam Margoyles,Mulan
Maui,Dwayne Johnson,Moana
Maurice,Rex Everhart,Beauty and the Beast
Max Goof,Dana Hill; Jason Marsden,Goof Troop
Max Hare,Ned Norton,The Tortoise and the Hare
Max the Sheepdog,Frank Welker,The Little Mermaid
Maximus,None,Tangled
May,None,House of Mouse
Mayor Lionheart,J.K. Simmons,Zootopia
Mechanicles,Charlie Adler,Aladdin
Meeko,John Kassir,Pocahontas
Megabyte Beagle,Frank Welker,DuckTales
Megara,Susan Egan,Hercules
Megavolt,Dan Castellaneta,Darkwing Duck
Melody,Tara Strong,The Little Mermaid II: Return to the Sea
Melinda,None,Fantasia
Melpomene,Cheryl Freeman,Hercules
Melvin,Fred Willard,Chicken Little
Mena,Cree Summer,Bambi II
Merlin,Karl Swenson,The Sword in the Stone
Merlock the Magician,Christopher Lloyd,DuckTales
Merryweather,Barbara Luddy,Sleeping Beauty
Michael Darling,Tommy Luske,Peter Pan
Mickey Mouse,Walt Disney,Steamboat Willie
Mike the Microphone,Rod Roddy,House of Mouse
Mildred,Angela Bassett,Meet the Robinsons
Milo Thatch,Michael J. Fox,Atlantis: The Lost Empire
Mindy,Kari Wahlgren,Bolt
Minnie Mouse,Walt Disney; Marcellite Garner,Plane Crazy
Minty Zaki,None,Wreck-It Ralph
Mirage,Bebe Neuwirth,Aladdin (TV series)
Miranda Wright,Karla DeVito,Bonkers
Miss Bianca,Eva Gabor,The Rescuers
Miss Kitty,Melissa Manchester,The Great Mouse Detective
Miss Nettle,Megan Mullally,Sofia the First
Mittens,Susie Essman,Bolt
Moana Waialiki,Auli'i Cravalho,Moana
Moley,Colin Campbell,The Adventures of Ichabod and Mr. Toad
Monsieur D'Arque,Tony Jay,Beauty and the Beast
Monstro,Thurl Ravenscroft,Pinocchio
Monterey Jack,Jim Cummings,Chip 'n Dale Rescue Rangers
Mooch,Bill Fagerbakke,Lady and the Tramp II: Scamp's Adventure
Morcupine Porcupine,Mark Dindal,Chicken Little
Morgana,Pat Carroll,The Little Mermaid II: Return to the Sea
Morgana McCawber,Kath Soucie,Darkwing Duck
Morph,Dane A. Davis,Treasure Planet
Mortimer Mouse,Maurice LaMarche,Mickey's Rival
Morty Fieldmouse,None,Mickey's Steam Roller
Mother Gothel,Donna Murphy,Tangled
Mother Rabbit,Barbara Luddy,Robin Hood
Mowgli,Bruce Reitherman,The Jungle Book
Mozenrath,Jonathan Brandis,Aladdin
Mr. Arrow,Roscoe Lee Browne,Treasure Planet
Mr. Big,Maurice LaMarche,Zootopia
Mr. Pettibone,Jeff Pidgeon,Mickey Mouse Clubhouse
Mr. Smee,Bill Thompson,Peter Pan
Mr. Snoops,Joe Flynn,The Rescuers
Mr. Stork,Sterling Holloway,Dumbo
Mr. Willerstein,Tom Kenny,Meet the Robinsons
Mr. Woolensworth,Patrick Stewart,Chicken Little
Mrs. Calloway,Judi Dench,Home on the Range
Mrs. Featherby,June Foray,DuckTales
Mrs. Hasagawa,Amy Hill,Lilo & Stitch
Mrs. Judson,Diana Chesney,The Great Mouse Detective
Mrs. Jumbo,Verna Felton,Dumbo
Mrs. Otterton,Octavia Spencer,Zootopia
Mrs. Possum,Mary Lansing,Bambi
Mrs. Potts,Angela Lansbury,Beauty and the Beast
Mrs. Quail,Thelma Boardman,Bambi
Mufasa,James Earl Jones,The Lion King
Mulan,Ming-Na Wen; Lea Salonga,Mulan
Mungo,Jason Marsden,Tarzan
Mushu,Eddie Murphy,Mulan
Myrtle Edmonds,Miranda Paige Walls; Liliana Mumy,Lilo & Stitch
Nakoma,Michelle St. John,Pocahontas
Nala,Moira Kelly; Niketa Calame,The Lion King
Nana,None,Peter Pan
Nancy Tremaine,Idina Menzel,Enchanted
Nani Pelekai,Tia Carrere,Lilo & Stitch
Nanny,Martha Wentworth,One Hundred and One Dalmatians
Napoleon the Bloodhound,Pat Buttram,The Aristocats
Nasira,Jodi Benson,Aladdin in Nasira's Revenge
Nathaniel,Timothy Spall,Enchanted
Natives,Jeff Bennett,Timon and Pumbaa
Ned the Baboon,Charlie Adler,Jungle Cubs
Neera,Julianna Margulies,Dinosaur
NegaDuck,Jim Cummings,Darkwing Duck
Nessus,Jim Cummings,Hercules
Nibs,Jeffrey Silver,Peter Pan
"Nicholas ""Nick"" P. Wilde",Jason Bateman,Zootopia
Nita,Mandy Moore,Brother Bear 2
Nuka,Andy Dick,The Lion King II: Simba's Pride
Nurse Mouse,Russi Taylor,The Rescuers Down Under
Nutsy the Vulture,Ken Curtis,Robin Hood
Oaken,Chris Williams,Frozen
The Octopus,Frank Welker,Return to Never Land
Olaf,Josh Gad,Frozen
Oliver,Joey Lawrence,Oliver & Company
Olivia Flaversham,Susanne Pollatschek,The Great Mouse Detective
Ollie the Pig,Charlie Dell,Home on the Range
Onus,Corey Burton,Treasure Planet
Orddu,Eda Reiss Merin,The Black Cauldron
Orgoch,Billie Hayes,The Black Cauldron
Orville,Jim Jordan,The Rescuers
Orwen,Adele Malis-Morey,The Black Cauldron
Oswald the Lucky Rabbit,Frank Welker,Trolley Troubles
Otto,J. Pat O'Malley,Robin Hood
Owl,Hal Smith,Winnie the Pooh and the Honey Tree
Pacha,John Goodman,The Emperor's New Groove
Pain and Panic,Bobcat Goldthwait; Matt Frewer,Hercules
Panchito Pistoles,Joaquin Garay; Carlos Alazraqui,The Three Caballeros
Pascal,Frank Welker,Tangled
Patch,Mickey Maga,One Hundred and One Dalmatians
Pearl Gesner,Carole Cook,Home on the Range
Peg,Peggy Lee,Lady and the Tramp
Peg Pete,April Winchell,Goof Troop
Pegasus,Frank Welker,Hercules
Penny's Mom,Grey DeLisle,Bolt
Penny,Sandra Abbott,One Hundred and One Dalmatians
Penny,Michelle Stacy,The Rescuers
Penny,Miley Cyrus,Bolt
Pepper Ann Pearson,Kathleen Wilhoite,Pepper Ann
Peppo the Italian Cat,Vito Scotti,The Aristocats
Percival C. McLeach,George C. Scott,The Rescuers Down Under
Percy,Danny Mann,Pocahontas
Perdita,Cate Bauer,101 Dalmatians
Periwinkle,Lucy Hale,Secret of the Wings
Pete,Billy Bletcher; Jim Cummings,Alice Solves the Puzzle
Pete Junior,Rob Paulsen,Goof Troop
Peter Pan,Bobby Driscoll,Peter Pan
Peter Pig,Pinto Colvig,The Wise Little Hen
The Phantom Blot,Frank Welker; John O'Hurley,DuckTales
Philoctetes,Danny DeVito,Hercules
Philippe the Horse,Hal Smith,Beauty and the Beast
Piglet,John Fiedler,Winnie the Pooh and the Blustery Day
Pinocchio,Dickie Jones,Pinocchio
Pip,Jeff Bennett; Kevin Lima,Enchanted
Pistol Pete,Nancy Cartwright,Goof Troop
Plio,Alfre Woodard,Dinosaur
Pluto,Pinto Colvig; Bill Farmer,The Chain Gang
Pocahontas,Irene Bedard; Judy Kuhn,Pocahontas
Poe De Spell,Terry McGovern; Frank Welker,DuckTales
Pom-Pom,Frank Welker,Cinderella II: Dreams Come True
Pongo,Rod Taylor,101 Dalmatians
Powerline,Tevin Campbell,A Goofy Movie
Practical Pig,Pinto Colvig,Three Little Pigs
Preston B. Whitmore,John Mahoney,Atlantis: The Lost Empire
Prince,Harry Stockwell,Snow White and the Seven Dwarfs
Prince Charming,William Phipps,Cinderella
Prince Edward,James Marsden,Enchanted
Prince Eric,Christopher Daniel Barnes,The Little Mermaid
Prince Hans,Santino Fontana,Frozen
Prince James,Zach Callison,Sofia the First
Prince John,Peter Ustinov,Robin Hood
Prince Naveen,Bruno Campos,The Princess and the Frog
Prince Phillip,Bill Shirley,Sleeping Beauty
Princess,Queenie Leonard,One Hundred and One Dalmatians
Princess Amber,Darcy Rose Byrnes,Sofia the First
Princess Eilonwy,Susan Sheridan,The Black Cauldron
Princess Jasmine,Linda Larkin; Lea Salonga,Aladdin
Princess Kidagakash,Cree Summer,Atlantis: The Lost Empire
Principal Mazur,Wallace Shawn,A Goofy Movie
Prissy the Elephant,Sarah Selby,Dumbo
Professor Norton Nimnul,Jim Cummings,Chip 'n Dale Rescue Rangers
Professor Ratigan,Vincent Price,The Great Mouse Detective
Pronk Oryx-Antlerson,Jared Bush,Zootopia
Prudence,Holland Taylor,Cinderella II: Dreams Come True
Psycho the Weasel,Charles Fleischer,Who Framed Roger Rabbit
Pua,None,Moana
Pumbaa,Ernie Sabella,The Lion King
Quackerjack,Michael Bell,Darkwing Duck
Quasimodo,Tom Hulce,The Hunchback of Notre Dame
Queen,Kari Wahlgren,Tangled Ever After
Queen Athena,Lorelei Hill Butters,The Little Mermaid: Ariel's Beginning
Queen Clarion,Anjelica Huston,Disney Fairies
Queen Grimhilde,Lucille La Verne,Snow White and the Seven Dwarfs
Queen Leah,Barbara Dirikson,Sleeping Beauty
Queen Miranda,Sara Ramirez,Sofia the First
Queen Mousetoria,Eve Brenner,The Great Mouse Detective
Queen Narissa,Susan Sarandon,Enchanted
The Queen of Hearts,Verna Felton,Alice in Wonderland
Quint,Corey Burton,Timon and Pumbaa
Rabbit,Junius Matthews,Winnie the Pooh and the Honey Tree
Rachel,None,Fantasia 2000
Rafiki,Robert Guillaume,The Lion King
Rajah,Frank Welker,Aladdin
Rancis Fluggerbutter,Jamie Elman,Wreck-It Ralph
Rapunzel,Mandy Moore,Tangled
Ratty,Claud Allister,The Adventures of Ichabod and Mr. Toad
Ray the Firefly,Jim Cummings,The Princess and the Frog
Razoul,Jim Cummings,Aladdin
Red,Peter Firth,The Rescuers Down Under
Rhino,Mark Walton,Bolt
Rhoda Dendron,Jennifer Darling,Darkwing Duck
Rico,Charles Dennis,Home on the Range
The Ringmaster,Herman Bing,Dumbo
Rita,Sheryl Lee Ralph,Oliver & Company
"Robert ""Bobby"" Zimmeruski",Pauly Shore,A Goofy Movie
Robin Hood,Brian Bedford,Robin Hood
Roger Rabbit,Charles Fleischer,Who Framed Roger Rabbit
Roger Radcliffe,Ben Wright,101 Dalmatians
Rolly,Barbara Beaird,One Hundred and One Dalmatians
Ronno,Anthony Ghannam,Bambi II
Roo,Clint Howard,Winnie the Pooh and the Honey Tree
Roo,Dori Whittaker,Winnie the Pooh and the Honey Tree
Roquefort the Mouse,Sterling Holloway,The Aristocats
Roscoe,Taurean Blacque,Oliver & Company
The Rose,Doris Lloyd,Alice in Wonderland
Rosetta,Kristin Chenoweth,Disney Fairies
Roxanne,Kellie Martin,A Goofy Movie
Ruby,Cathy Moriarty,Lady and the Tramp II: Scamp's Adventure
Rufus,John McIntire,The Rescuers
Runt of the Litter,Steve Zahn,Chicken Little
Rusty the Dog,G.W. Bailey,Home on the Range
Rutt and Tuke,Rick Moranis; Dave Thomas,Brother Bear
Sa'luk,Jerry Orbach,Aladdin and the King of Thieves
Sadira,Kellie Martin,Aladdin
Sam Flynn,Garrett John Hedlund,Tron: Legacy
Sam the Sheriff,Richard Riehle,Home on the Range
Sarabi,Madge Sinclair,The Lion King
Sarafina,Zoe Leader,The Lion King
Sarah Hawkins,Laurie Metcalf,Treasure Planet
Sarousch,Michael McKean,The Hunchback of Notre Dame II
Scamp,Scott Wolf,Lady and the Tramp II: Scamp's Adventure
Scar,Jeremy Irons,The Lion King
Scat Cat,Scatman Crothers,The Aristocats
Scratchy,None,Lady and the Tramp II: Scamp's Adventure
Scrooge McDuck,Alan Young,DuckTales
Scroop,Michael Wincott,Treasure Planet
Scuttle,Buddy Hackett,The Little Mermaid
Sebastian,Samuel E. Wright,The Little Mermaid
Secretary Bird,Lennie Weinrib,Bedknobs and Broomsticks
Sergeant Calhoun,Jane Lynch,Wreck-It Ralph
Sgt. Tibbs,David Frankham,101 Dalmatians
Shan Yu,Miguel Ferrer,Mulan
Shanti (The Girl),Darleen Carr,The Jungle Book
Sha-ron,Mary Gibbs,Mulan 2
Shenzi,Whoopi Goldberg,The Lion King
Shere Khan,George Sanders,The Jungle Book
Sheriff of Nottingham,Pat Buttram,Robin Hood
Shun Gon the Chinese Cat,Paul Winchell,The Aristocats
Si & Am,Peggy Lee,Lady and the Tramp
Silvermist,Lucy Liu,Disney Fairies
Simba,Jonathan Taylor Thomas,The Lion King
Simba,Matthew Broderick,The Lion King
Sir Ector,Sebastian Cabot,The Sword in the Stone
Sir Giles,Claud Allister,The Reluctant Dragon
Sir Hiss,Terry-Thomas,Robin Hood
Sir Kay,Norman Alden,The Sword in the Stone
Sir Pellinore,Alan Napier,The Sword in the Stone
Sis Bunny,Dana Laurita,Robin Hood
Sitka,D. B. Sweeney,Brother Bear
Skippy Bunny,Billy Whittaker,Robin Hood
Sleepy,Pinto Colvig,Snow White and the Seven Dwarfs
Slightly,Stuffy Singer,Peter Pan
Smarty the Weasel,David Lander,Who Framed Roger Rabbit
Smolder the Bear,Jim Cummings,Timon and Pumbaa
Sneezy,Billy Gilbert,Snow White and the Seven Dwarfs
Snow White,Adriana Caselotti,Snow White and the Seven Dwarfs
Snowanna Rainbeau,None,Wreck-It Ralph
Princess Sofia,Ariel Winter,Sofia the First
Sour Bill,Rich Moore,Wreck-It Ralph
Sparky,Mickey Rooney,Lady and the Tramp II: Scamp's Adventure
Speedy the Snail,Corey Burton,Timon and Pumbaa
Spot,Tara Strong,101 Dalmatians: The Series
Spring Sprite,Helena Bonham Carter,Fantasia 2000
Squeaks the Caterpillar,None,The Fox and the Hound
Stabbington Brothers,Ron Perlman,Tangled
Steelbeak,Rob Paulsen,Darkwing Duck
Stitch,Chris Sanders,Lilo & Stitch
Stromboli,Charles Judels,Pinocchio
Stu Hopps,Don Lake,Zootopia
Stupid the Weasel,Fred Newman,Who Framed Roger Rabbit
The Sultan,Douglas Seale,Aladdin
Sultan the Footstool,Frank Welker,Beauty and the Beast
Suri,Hayden Panettiere,Dinosaur
Sven,None,Frozen
"Swizzle ""The Swizz"" Malarkey",None,Wreck-It Ralph
Sykes,Robert Loggia,Oliver & Company
Sylvia Marpole,Bebe Neuwirth,An Extremely Goofy Movie
Tadashi Hamada,Daniel Henney,Big Hero 6
Taffyta Muttonfudge,Mindy Kaling,Wreck-It Ralph
Tagalong Bunny,Dori Whittaker,Robin Hood
Tamatoa,Jemaine Clement,Moana
Tanana,Joan Copeland,Brother Bear
Tank,Brad Garrett,An Extremely Goofy Movie
Tank Muddlefoot,Dana Hill,Darkwing Duck
Tantor,Wayne Knight,Tarzan
Taran,Grant Bardsley,The Black Cauldron
Tarzan,Tony Goldwyn,Tarzan
Tarzan,Alex D. Linz,Tarzan
Taurus Bulba,Tim Curry,Darkwing Duck
Ted Betterhead,Diedrich Bader,The Country Bears
Terence,Jesse McCartney,Disney Fairies
Terk,Rosie O'Donnell,Tarzan
Terpsichore,LaChanze,Hercules
Thalia,Roz Ryan,Hercules
Thomas,Christian Bale,Pocahontas
Thomas O'Malley,Phil Harris,The Aristocats
Thug,Randy Savage,Bolt
Thumper,Peter Behn; Sam Edwards,Bambi
Thumper's Mother,Margaret Lee,Bambi
Tiana,Anika Noni Rose,The Princess and the Frog
Tiger Lily,Cree Summer,Peter Pan
Tigger,Paul Winchell,Winnie the Pooh and the Blustery Day
Tillie Tiger,Alyce Ardell,Silly Symphonies
Timon,Nathan Lane,The Lion King
Timon's Mother,Julie Kavner,The Lion King 1½
Timothy Q. Mouse,Edward Brophy,Dumbo
Tina,Catherine O'Hara,Chicken Little
Tinker Bell,Mae Whitman,Peter Pan
Tino Tonitini,Jason Marsden,The Weekenders
Tiny,Joe Mateo,Meet the Robinsons
Tip,Max Casella,The Little Mermaid II: Return to the Sea
Tipo,Eli Russell Linnetz,The Emperor's New Groove
Tito,Cheech Marin,Oliver & Company
Tobias the Reluctant Dragon,Barnett Parker,The Reluctant Dragon
Toby the Dog,Frank Welker,The Great Mouse Detective
Toby Tortoise,Eddie Holden,The Tortoise and the Hare
Toby Turtle,Richie Sanders,Robin Hood
Tod,Keith Coogan; Mickey Rooney,The Fox and the Hound
Tootles,None,Peter Pan
Toots,Frank Welker,Bonkers
Toulouse,Gary Dubin,The Aristocats
Tramp,Larry Roberts,Lady and the Tramp
Trigger the Vulture,George Lindsey,Robin Hood
Trusty,Bill Baucom,Lady and the Tramp
Tug,Michael Clarke Duncan,Brother Bear
Tui Waialiki,Temuera Morrison,Moana
Turkey Lurkey,Don Knotts,Chicken Little
Tuskernini,Kenneth Mars,Darkwing Duck
Tweedledum and Tweedledee,J. Pat O'Malley,Alice in Wonderland
Two Fingers,Paul Briggs,The Princess and the Frog
Uncle Art,Adam West,Meet the Robinsons
Uncle Max,Jerry Stiller,The Lion King 1½
Uncle Waldo,Bill Thompson,The Aristocats
Url,None,Dinosaur
Ursula,Pat Carroll,The Little Mermaid
Vanellope von Schweetz,Sarah Silverman,Wreck-It Ralph
Vanessa (The Little Mermaid),Pat Carroll; Jodi Benson,The Little Mermaid
Veteran Cat,Diedrich Bader,Bolt
Victor,Charles Kimbrough,The Hunchback of Notre Dame
Vidia,Pamela Adlon,Disney Fairies
"Vincenzo ""Vinny"" Santorini",Don Novello,Atlantis: The Lost Empire
Vitani,Lacey Chabert; Jennifer Lien,The Lion King II: Simba's Pride
Vixey,Sandy Duncan,The Fox and the Hound
Vladimir Goudenov Grizzlikof,Ron Feinberg,Darkwing Duck
Vulture Police,Townsend Coleman; Brian Cummings,Timon and Pumbaa
Waffles,Frank Welker,Goof Troop
The Walrus,J. Pat O'Malley,Alice in Wonderland
Webby Vanderquack,Russi Taylor,DuckTales
Webster,Jim Cummings,Belle's Magical World
Wendy Darling,Kathryn Beaumont,Peter Pan
Wesley,Steve Buscemi,Home on the Range
Wheezy the Weasel,June Foray,Who Framed Roger Rabbit
White Rabbit,Bill Thompson,Alice in Wonderland
Widow Tweed,Jeanette Nolan,The Fox and the Hound
Wiggins,David Ogden Stiers,Pocahontas
Wilbur,John Candy,The Rescuers Down Under
Wilbur Robinson,Wesley Singerman,Meet the Robinsons
Wilhelmina Packard,Florence Stanley,Atlantis: The Lost Empire
Willie the Giant,Billy Gilbert,Fun and Fancy Free
Winifred the Elephant,Verna Felton,The Jungle Book
Winkie the Barman,Oliver Wallace,The Adventures of Ichabod and Mr. Toad
Winnie the Pooh,Sterling Holloway,Winnie the Pooh and the Honey Tree
Winston,William Glover,Oliver & Company
Witherspoon,None,Belle's Magical World
Woolter the Ram,John DiMaggio,Zootopia
Wormwood the Raven,Jim Cummings,Sofia the First
Wreck-It Ralph,John C. Reilly,Wreck-It Ralph
Wynchel,Adam Carolla,Wreck-It Ralph
Xerxes,Frank Welker,Aladdin (TV series)
Yao,Harvey Fierstein,Mulan
Yar,Ossie Davis,Dinosaur
Yax,Tommy Chong,Zootopia
Yen Sid,Corey Burton,Fantasia
Yo-Yo,None,Fantasia 2000
Yzma,Eartha Kitt,The Emperor's New Groove
Zarina,Christina Hendricks,The Pirate Fairy
Zazu,Rowan Atkinson,The Lion King
Zephyr,Haley Joel Osment,The Hunchback of Notre Dame II
Zeus,Rip Torn,Hercules
Ziggy the Vulture,Digby Wolfe,The Jungle Book
Zini,Max Casella,Dinosaur
Zipper,Corey Burton,Chip 'n Dale Rescue Rangers
Zira,Suzanne Pleshette,The Lion King II: Simba's Pride
