,longitude,latitude,name
0,33.791638,-84.389488,
1,33.791638,-84.389488,
2,33.93911,67.709953,Afghanistan
3,41.153332,20.168331,Albania
4,28.033886,1.659626,Algeria
5,-14.270972,-170.132217,American Samoa
6,42.506285,1.521801,Andorra
7,-11.202692,17.873887,Angola
8,18.220554,-63.06861499999999,Anguilla
9,-82.862752,135.0,Antarctica
10,17.060816,-61.796428,Antigua & Barbuda
11,-38.416097,-63.61667199999999,Argentina
12,40.069099,45.038189,Armenia
13,12.52111,-69.968338,Aruba
14,-25.274398,133.775136,Australia
15,47.516231,14.550072,Austria
16,40.143105,47.576927,Azerbaijan
17,25.03428,-77.39627999999999,Bahamas
18,26.0667,50.5577,Bahrain
19,23.684994,90.356331,Bangladesh
20,13.193887,-59.543198,Barbados
21,53.709807,27.953389,Belarus
22,50.503887,4.469936,Belgium
23,17.189877,-88.49765,Belize
24,9.30769,2.315834,Benin
25,32.3078,-64.7505,Bermuda
26,27.514162,90.433601,Bhutan
27,-16.290154,-63.58865299999999,Bolivia
28,43.915886,17.679076,Bosnia
29,-22.328474,24.684866,Botswana
30,-54.4207915,3.3464497,Bouvet Island
31,-14.235004,-51.92528,Brazil
32,-6.343194,71.876519,British Indian Ocean Territory
33,18.420695,-64.639968,British Virgin Islands
34,4.535277,114.727669,Brunei
35,42.733883,25.48583,Bulgaria
36,12.238333,-1.561593,Burkina Faso
37,-3.373056,29.918886,Burundi
38,12.565679,104.990963,Cambodia
39,7.369721999999999,12.354722,Cameroon
40,56.130366,-106.346771,Canada
41,16.5388,-23.0418,Cape Verde
42,12.1783611,-68.2385339,Caribbean Netherlands
43,19.3133,-81.2546,Cayman Islands
44,6.611110999999999,20.939444,Central African Republic
45,15.454166,18.732207,Chad
46,-35.675147,-71.542969,Chile
47,35.86166,104.195397,China
48,-10.447525,105.690449,Christmas Island
49,-12.164165,96.87095599999999,Cocos (Keeling) Islands
50,4.570868,-74.297333,Colombia
51,-11.6455,43.3333,Comoros
52,-0.228021,15.827659,Congo - Brazzaville
53,-4.038333,21.758664,Congo - Kinshasa
54,-21.236736,-159.777671,Cook Islands
55,9.748916999999999,-83.753428,Costa Rica
56,45.1,15.2000001,Croatia
57,21.521757,-77.781167,Cuba
58,12.16957,-68.99002,Curaçao
59,35.126413,33.429859,Cyprus
60,49.81749199999999,15.472962,Czech Republic
61,7.539988999999999,-5.547079999999999,Côte d’Ivoire
62,56.26392,9.501785,Denmark
63,11.825138,42.590275,Djibouti
64,15.414999,-61.37097600000001,Dominica
65,18.735693,-70.162651,Dominican Republic
66,-1.831239,-78.18340599999999,Ecuador
67,26.820553,30.802498,Egypt
68,13.794185,-88.89653,El Salvador
69,1.650801,10.267895,Equatorial Guinea
70,15.179384,39.782334,Eritrea
71,58.595272,25.0136071,Estonia
72,9.145000000000001,40.489673,Ethiopia
73,-51.796253,-59.523613,Falkland Islands
74,61.89263500000001,-6.9118061,Faroe Islands
75,-17.713371,178.065032,Fiji
76,61.92410999999999,25.7481511,Finland
77,46.227638,2.213749,France
78,3.933889,-53.125782,French Guiana
79,-17.679742,-149.406843,French Polynesia
80,-49.280366,69.3485571,French Southern Territories
81,-0.803689,11.609444,Gabon
82,13.443182,-15.310139,Gambia
83,32.1656221,-82.9000751,Georgia
84,51.165691,10.451526,Germany
85,7.946527,-1.023194,Ghana
86,36.140751,-5.353585,Gibraltar
87,39.074208,21.824312,Greece
88,71.706936,-42.604303,Greenland
89,12.1165,-61.67899999999999,Grenada
90,16.265,-61.55099999999999,Guadeloupe
91,13.444304,144.793731,Guam
92,15.783471,-90.23075899999999,Guatemala
93,49.465691,-2.585278,Guernsey
94,9.945587,-9.696645,Guinea
95,11.803749,-15.180413,Guinea-Bissau
96,4.860416,-58.93018,Guyana
97,18.971187,-72.285215,Haiti
98,-53.08181,73.50415799999999,Heard & McDonald Islands
99,15.199999,-86.241905,Honduras
100,22.396428,114.109497,Hong Kong
101,47.162494,19.5033041,Hungary
102,64.963051,-19.020835,Iceland
103,20.593684,78.96288,India
104,-0.789275,113.921327,Indonesia
105,32.427908,53.688046,Iran
106,33.223191,43.679291,Iraq
107,53.1423672,-7.692053599999999,Ireland
108,54.236107,-4.548056,Isle of Man
109,31.046051,34.851612,Israel
110,41.87194,12.56738,Italy
111,18.109581,-77.297508,Jamaica
112,36.204824,138.252924,Japan
113,49.214439,-2.13125,Jersey
114,30.585164,36.238414,Jordan
115,48.019573,66.923684,Kazakhstan
116,-0.023559,37.906193,Kenya
117,-3.370417,-168.734039,Kiribati
118,29.31166,47.481766,Kuwait
119,41.20438,74.766098,Kyrgyzstan
120,19.85627,102.495496,Laos
121,56.879635,24.603189,Latvia
122,33.854721,35.862285,Lebanon
123,-29.609988,28.233608,Lesotho
124,6.428055,-9.429499000000002,Liberia
125,26.3351,17.228331,Libya
126,47.166,9.555373,Liechtenstein
127,55.169438,23.881275,Lithuania
128,49.815273,6.129582999999999,Luxembourg
129,22.198745,113.543873,Macau
130,41.608635,21.745275,Macedonia
131,-18.766947,46.869107,Madagascar
132,-13.254308,34.301525,Malawi
133,4.210484,101.975766,Malaysia
134,3.202778,73.22068,Maldives
135,17.570692,-3.996166,Mali
136,35.937496,14.375416,Malta
137,7.131474,171.184478,Marshall Islands
138,14.641528,-61.024174,Martinique
139,21.00789,-10.940835,Mauritania
140,-20.348404,57.55215200000001,Mauritius
141,-12.8275,45.166244,Mayotte
142,23.634501,-102.552784,Mexico
143,7.425554,150.550812,Micronesia
144,47.411631,28.369885,Moldova
145,43.73841760000001,7.424615799999999,Monaco
146,46.862496,103.846656,Mongolia
147,42.708678,19.37439,Montenegro
148,16.742498,-62.187366,Montserrat
149,31.791702,-7.092619999999999,Morocco
150,-18.665695,35.529562,Mozambique
151,21.916221,95.955974,Myanmar
152,-22.95764,18.49041,Namibia
153,-0.522778,166.931503,Nauru
154,28.394857,84.12400799999999,Nepal
155,52.132633,5.291265999999999,Netherlands
156,-20.904305,165.618042,New Caledonia
157,-40.900557,174.885971,New Zealand
158,12.865416,-85.207229,Nicaragua
159,17.607789,8.081666,Niger
160,9.081999,8.675277,Nigeria
161,-19.054445,-169.867233,Niue
162,-29.040835,167.954712,Norfolk Island
163,40.339852,127.510093,North Korea
164,15.0979,145.6739,Northern Mariana Islands
165,60.47202399999999,8.468945999999999,Norway
166,21.4735329,55.975413,Oman
167,30.375321,69.34511599999999,Pakistan
168,7.514979999999999,134.58252,Palau
169,31.952162,35.233154,Palestine
170,8.537981,-80.782127,Panama
171,-6.314992999999999,143.95555,Papua New Guinea
172,-23.442503,-58.443832,Paraguay
173,-9.189967,-75.015152,Peru
174,12.879721,121.774017,Philippines
175,-24.3767537,-128.3242376,Pitcairn Islands
176,51.919438,19.145136,Poland
177,39.39987199999999,-8.224454,Portugal
178,18.220833,-66.590149,Puerto Rico
179,25.354826,51.183884,Qatar
180,45.943161,24.96676,Romania
181,61.52401,105.318756,Russia
182,-1.940278,29.873888,Rwanda
183,-21.115141,55.536384,Réunion
184,-13.759029,-172.104629,Samoa
185,43.94236,12.457777,San Marino
186,23.885942,45.079162,Saudi Arabia
187,14.497401,-14.452362,Senegal
188,44.016521,21.005859,Serbia
189,-4.679574,55.491977,Seychelles
190,8.460555,-11.779889,Sierra Leone
191,1.352083,103.819836,Singapore
192,18.04248,-63.05483,Sint Maarten
193,48.669026,19.699024,Slovakia
194,46.151241,14.995463,Slovenia
195,-9.64571,160.156194,Solomon Islands
196,5.152149,46.199616,Somalia
197,-30.559482,22.937506,South Africa
198,-54.429579,-36.587909,South Georgia & South Sandwich Islands
199,35.907757,127.766922,South Korea
200,6.876991899999999,31.3069788,South Sudan
201,40.46366700000001,-3.74922,Spain
202,7.873053999999999,80.77179699999999,Sri Lanka
203,17.9,-62.833333,St. Barthélemy
204,-15.9650104,-5.7089241,St. Helena
205,17.357822,-62.782998,St. Kitts & Nevis
206,13.909444,-60.978893,St. Lucia
207,18.0708298,-63.0500809,St. Martin
208,46.8852,-56.3159,St. Pierre & Miquelon
209,12.984305,-61.287228,St. Vincent & Grenadines
210,12.862807,30.217636,Sudan
211,3.919305,-56.027783,Suriname
212,77.55360399999999,23.6702719,Svalbard & Jan Mayen
213,-26.522503,31.465866,Swaziland
214,60.12816100000001,18.643501,Sweden
215,46.818188,8.227511999999999,Switzerland
216,34.80207499999999,38.996815,Syria
217,0.18636,6.613080999999999,São Tomé & Príncipe
218,23.69781,120.960515,Taiwan
219,38.861034,71.276093,Tajikistan
220,-6.369028,34.888822,Tanzania
221,15.870032,100.992541,Thailand
222,-8.874217,125.727539,Timor-Leste
223,8.619543,0.824782,Togo
224,-9.200199999999999,-171.8484,Tokelau
225,-21.178986,-175.198242,Tonga
226,10.691803,-61.222503,Trinidad & Tobago
227,33.886917,9.537499,Tunisia
228,38.963745,35.243322,Turkey
229,38.969719,59.556278,Turkmenistan
230,21.694025,-71.797928,Turks & Caicos Islands
231,-7.109534999999999,177.64933,Tuvalu
232,19.2823192,166.647047,U.S. Outlying Islands
233,18.335765,-64.896335,U.S. Virgin Islands
234,55.378051,-3.435973,UK
235,40.7605367,-73.9788903,US
236,1.373333,32.290275,Uganda
237,48.379433,31.1655799,Ukraine
238,23.424076,53.847818,United Arab Emirates
239,-32.522779,-55.765835,Uruguay
240,41.377491,64.585262,Uzbekistan
241,-15.376706,166.959158,Vanuatu
242,41.902916,12.453389,Vatican City
243,6.42375,-66.58973,Venezuela
244,14.058324,108.277199,Vietnam
245,-14.2938,-178.1165,Wallis & Futuna
246,24.215527,-12.885834,Western Sahara
247,15.552727,48.516388,Yemen
248,-13.133897,27.849332,Zambia
249,-19.015438,29.154857,Zimbabwe
250,60.1785247,19.9156105,Åland Islands
